title,author,isbn,openLibraryId,url
"Ink and Bone","Lisa Unger","1501101641","OL25381692W","https://openlibrary.org/works/OL25381692W"
"Instauration","Sarah Lyons Fleming","","OL27305222W","https://openlibrary.org/works/OL27305222W"
"Intruders: The Incredible Visitations at Copley Woods","Budd Hopkins","5551898458","",""
"Invidious","Bianca Scardoni","0994865147","OL20806177W","https://openlibrary.org/works/OL20806177W"
"Invisible Monsters","Michael Sutherland","1620041952","OL35276702W","https://openlibrary.org/works/OL35276702W"
"Iron Kissed","Patricia Briggs","0441015662","",""
"Island of the Blue Dolphins","Scott O'Dell","0440439884","",""
"Isolation Island: Into the Wild","Johnny Moscato","","",""
"It's a Wonderful Midlife Crisis","Robyn Peterman","1941377394","",""
"Jane Eyre","Charlotte Brontë","0142437204","",""
"Jar of Hearts","Jennifer Hillier","1250154197","",""
"Jarhead : A Marine's Chronicle of the Gulf War and Other Battles","Anthony Swofford","0743287215","",""
"Jessica Jones, Vol. 1: Uncaged!","Brian Michael Bendis","1302497782","",""
"Jessica Jones, Vol. 2: The Secrets of Maria Hill","Brian Michael Bendis","","",""
"Jesus Land: A Memoir","Julia Scheeres","1582433542","",""
"Jesus, Interrupted: Revealing the Hidden Contradictions in the Bible & Why We Don't Know About Them","Bart D. Ehrman","0061173932","",""
"Jill Kismet: The Complete Series","Lilith Saintcrow","","",""
"John Dies at the End","Jason Pargin","0978970764","",""
"Josh and Hazel's Guide to Not Dating","Christina Lauren","1501165852","",""
"Just My Luck","Adele Parks","0008284709","OL21666354W","https://openlibrary.org/works/OL21666354W"
"Kairos","Jenny Erpenbeck","","OL29330702W","https://openlibrary.org/works/OL29330702W"
"Keep Her Safe","K.A. Tucker","1501133403","",""
"Killers of a Certain Age","Deanna Raybourn","","OL27021614W","https://openlibrary.org/works/OL27021614W"
"Killers of the Flower Moon: The Osage Murders and the Birth of the FBI","David Grann","0593470834","",""
"Killing England: The Brutal Struggle for American Independence","Bill O'Reilly","1627790640","",""
"Killing November","Adriana Mather","0525579109","OL20161630W","https://openlibrary.org/works/OL20161630W"
"Killman Creek","Rachel Caine","1542096413","OL19731773W","https://openlibrary.org/works/OL19731773W"
"King's Dragon","William L. Culbertson","","",""
"Kingdom of the Wicked","Kerri Maniscalco","1529350441","",""
"Kitty and the Midnight Hour","Carrie Vaughn","0446616419","",""
"Knowing Your Value: Women, Money, and Getting What You're Worth","Mika Brzezinski","1611744415","",""
"Krakatoa: The Day the World Exploded [August 27, 1883]","Simon Winchester","0060838590","",""
"Lady Tan’s Circle of Women","Lisa See","1982117087","",""
"Last Girl Ghosted","Lisa Unger","","OL24454846W","https://openlibrary.org/works/OL24454846W"
"Lean In: Women, Work, and the Will to Lead","Sheryl Sandberg","0385349947","",""
"Learn to Knit on Circle Looms","Denise Layman","1573676314","OL8976610W","https://openlibrary.org/works/OL8976610W"
"Learning to Die in the Anthropocene: Reflections on the End of a Civilization","Roy Scranton","0872866696","",""
"Leaves of Grass","Walt Whitman","","OL16333W","https://openlibrary.org/works/OL16333W"
"Legendary","Stephanie Garber","","OL19748577W","https://openlibrary.org/works/OL19748577W"
"Life Bound","Aubrey Winters","","",""
"Life Inside","Mindy Lewis","0743411501","",""
"Life Will Be the Death of Me: . . . and You Too!","Chelsea Handler","0525511784","OL20088562W","https://openlibrary.org/works/OL20088562W"
"Life of Pi","Yann Martel","0770430074","",""
"Lightlark","Alex Aster","1419760866","",""
"Like Clockwork","Lee Strauss","0987807870","",""
"Listen for the Lie","Amy Tintera","1250880319","",""
"Little Fires Everywhere","Celeste Ng","0143135163","OL17821431W","https://openlibrary.org/works/OL17821431W"
"Little Shoes: The Sensational Depression-Era Murders That Became My Family's Secret","Pamela Everett","","",""
"Living the Vida Lola","Melissa Bourbon","0312384025","",""
"Lonesome Dove","Larry McMurtry","","OL134601W","https://openlibrary.org/works/OL134601W"
"Look Closer","David Ellis","0399170928","",""
"Lord of the Flies","William Golding","0140283331","",""
"Love Only Once","Johanna Lindsey","0380899531","",""
"Love and Ruin","Paula McLain","","OL20189961W","https://openlibrary.org/works/OL20189961W"
"Love in the Time of Cholera","Gabriel García Márquez","","OL24998368W","https://openlibrary.org/works/OL24998368W"
"Lovely War","Julie Berry","","OL19798655W","https://openlibrary.org/works/OL19798655W"
"Loving Frank","Nancy Horan","0345494997","",""
"Lucky","Marissa Stapley","1668002450","",""
"Lucky Suit","Lauren Blakely","","OL26417201W","https://openlibrary.org/works/OL26417201W"
"Lusam: The Dragon Mage Wars Book One","Dean Cadman","","",""
"Lusam: The Dragon Mage Wars Book Two","Dean Cadman","","",""
"Lyric's Curse","Robyn Wideman","","",""
"Maame","Jessica George","","OL27809981W","https://openlibrary.org/works/OL27809981W"
"Macbeth","Folger Shakespeare Library","0743477103","",""
"Made You Up","Francesca Zappia","","OL21372922W","https://openlibrary.org/works/OL21372922W"
"Magic for Liars","Sarah Gailey","1250174600","",""
"Magpie","Elizabeth  Day","1982187603","",""
"Managing in the Next Society (Classic Drucker Collection)","Peter F. Drucker","","",""
"Marked in Flesh","Anne Bishop","0698190424","OL20020543W","https://openlibrary.org/works/OL20020543W"
"Marvel Cinematic Universe Guidebook: It's All Connected","Michael O'Sullivan","1302502069","",""
"Mary Queen of Scots","Antonia Fraser","0804152586","OL1730836W","https://openlibrary.org/works/OL1730836W"
"Mary, Queen Of Scots: White Queen, Red Queen","Michael W. Simmons","","",""
"Material World: The Six Raw Materials That Shape Modern Civilization","Ed Conway","0593534344","",""
"Maya, Dead and Dreaming","Lana Sabarwal","","",""
"Maybe in Another Life","Taylor Jenkins Reid","","OL20004833W","https://openlibrary.org/works/OL20004833W"
"Meet the Sky (Blink)","McCall Hoyle","0310765706","",""
"Memnoch the Devil","Anne Rice","","OL77847W","https://openlibrary.org/works/OL77847W"
"Memoirs of a Geisha","Arthur Golden","0739326228","",""
"Mercy","Julie Garwood","0743430336","",""
"Metro 2033","Dmitry Glukhovsky","1481845705","",""
"Midnight at the Blackbird Café","Heather Webber","1250198607","",""
"Midnight at the Bright Ideas Bookstore","Matthew J. Sullivan","1501116843","",""
"Miracle in the Andes: 72 Days on the Mountain and My Long Trek Home","Nando Parrado","","",""
"Moneyball","Michael   Lewis","0393324818","",""
"Moon Called","Patricia Briggs","0441013813","",""
"Moonlight Cove","Sherryl Woods","0778329798","",""
"Mordacious","Sarah Lyons Fleming","","OL34965793W","https://openlibrary.org/works/OL34965793W"
"Mud and Gold","Shayne Parkinson","1452303800","OL20391451W","https://openlibrary.org/works/OL20391451W"
"Murder Your Employer","Rupert Holmes","1451648219","",""
"Murder of Crows","Anne Bishop","1101637943","OL20909458W","https://openlibrary.org/works/OL20909458W"
"Murder on the Red River","Marcie R. Rendon","1641293888","OL20220915W","https://openlibrary.org/works/OL20220915W"
"My Brilliant Friend","Elena Ferrante","","OL34947113W","https://openlibrary.org/works/OL34947113W"
"My Dark Vanessa","Kate Elizabeth Russell","","OL20652090W","https://openlibrary.org/works/OL20652090W"
"My Darling Husband","Kimberly Belle","0778311562","",""
"My Ex-Life","Stephen McCauley","1250122430","OL19754281W","https://openlibrary.org/works/OL19754281W"
"My Friends","Neil   Smith","1982112824","",""
"My Lady Jane","Cynthia Hand","0062391798","",""
"My Plain Jane","Cynthia Hand","","OL19745035W","https://openlibrary.org/works/OL19745035W"
"Neuromancer","William Gibson","","OL27258W","https://openlibrary.org/works/OL27258W"
"Nevermoor: The Trials of Morrigan Crow","Jessica Townsend","0316439959","",""
"Nevernight","Jay Kristoff","","OL19740349W","https://openlibrary.org/works/OL19740349W"
"Neverwhere","Neil Gaiman","0060557818","",""
"Nice Girls Don't Have Fangs","Molly Harper","1416589422","",""
"Night Shift","Lilith Saintcrow","0316001783","",""
"Nightblade","Garrett Robinson","","OL21163568W","https://openlibrary.org/works/OL21163568W"
"Nightlife","Rob Thurman","0451460758","",""
"Nine Perfect Strangers","Liane Moriarty","1250069823","OL19761911W","https://openlibrary.org/works/OL19761911W"
"No Exit","Taylor  Adams","1912106760","OL20152672W","https://openlibrary.org/works/OL20152672W"
"No Happy Endings","Nora McInerny Purmort","0062792407","",""
"No One Will Miss Her","Kat Rosenfield","0063057018","",""
"No Place to Die","Jaden Skye","","OL20890025W","https://openlibrary.org/works/OL20890025W"
"No Rest for the Weary","Aaron J. Ethridge","","OL29622499W","https://openlibrary.org/works/OL29622499W"
"No Turning Back: The South American Expedition of a Dragon Slayer","Benjamin "Coach" Wade","","",""
"Nobody Will Tell You This But Me: A True (as Told to Me) Story","Bess Kalb","0525654712","",""
"Northanger Abbey","Alfred Mac Adam","1593082649","",""
"Not Some Random Clown: A Youth Football Coaching Legend's Rise to Glory","Three Year Letterman","","",""
"Now I Rise","Kiersten White","","OL19355314W","https://openlibrary.org/works/OL19355314W"
"Obama: An Oral History","Brian Abrams","1503995038","",""
"Oblivion Song #1","Robert Kirkman","","",""
"Obscura","Joe Hart","1503934446","OL19342744W","https://openlibrary.org/works/OL19342744W"
"Of Blood and Fire","Ryan  Cahill","","OL24244461W","https://openlibrary.org/works/OL24244461W"
"Of Shadow Born","Dianne Sylvan","0425259803","",""
"Oh, the Places You’ll Go!","Dr. Seuss","0679805273","",""
"Olive, Again","Elizabeth Strout","0812996542","",""
"On a Quiet Street","Seraphina Nova Glass","0369717058","OL26120824W","https://openlibrary.org/works/OL26120824W"
"On the Come Up","Angie Thomas","","OL19781737W","https://openlibrary.org/works/OL19781737W"
"Once Upon a River","Diane Setterfield","","OL19764075W","https://openlibrary.org/works/OL19764075W"
"One","Richard Bach","0330311735","",""
"One Hundred Years of Solitude","Gregory Rabassa","","OL29355621W","https://openlibrary.org/works/OL29355621W"
"One Last Secret","Adele Parks","0778386775","",""
"One More Step","Lillian Schneider","","",""
"One by One","Ruth Ware","","OL20809405W","https://openlibrary.org/works/OL20809405W"
"One for the Blackbird, One for the Crow","Olivia Hawker","1542091136","OL20803594W","https://openlibrary.org/works/OL20803594W"
"One of Us Is Dead","Jeneva Rose","","OL25591992W","https://openlibrary.org/works/OL25591992W"
"One of Us Is Lying","Karen M. McManus","","OL17797857W","https://openlibrary.org/works/OL17797857W"
"One of Us Is Next","Karen M. McManus","0525707964","",""
"Only Time Will Tell","Jeffrey Archer","","OL15981099W","https://openlibrary.org/works/OL15981099W"
"Oona Out of Order","Margarita Montimore","1250236606","",""
"Opal","Maggie Stiefvater","1338306642","",""
"Orange Is the New Black: My Year in a Women's Prison","Piper Kerman","","",""
"Other People's Children","Jeff Hoffmann","","OL25920621W","https://openlibrary.org/works/OL25920621W"
"Our Kind of Cruelty","Araminta Hall","0374228191","",""
"Our Little Secret","Mandy Kaplan","1664994939","",""
"Overwhelmed: How to Quiet the Chaos and Restore Your Sanity","Kathi Lipp","0736965386","",""
"Pack Up the Moon","Kristan Higgins","0451489489","",""
"Pale Demon","Kim Harrison","0061138061","",""
"Pandemonium","Lauren Oliver","","OL16286212W","https://openlibrary.org/works/OL16286212W"
"Paradox Rising","Penelope Wright","","",""
"Paris: The Memoir","Paris Hilton","0063224623","",""
"Park Avenue Summer","Renée Rosen","1101991143","",""
"Part of Your World","Abby Jimenez","1538704374","OL24865656W","https://openlibrary.org/works/OL24865656W"
"Peace Like a River","Leif Enger","0802139256","",""
"Perfect","L.A. Kessler","","",""
"Peripeteia","Sarah Lyons Fleming","","OL40612663W","https://openlibrary.org/works/OL40612663W"
"Phrase Seven","Chase     Hughes","","OL28253051W","https://openlibrary.org/works/OL28253051W"
"Playing with Fire","Howard Hughes","0857502948","",""
"Poster Girl","Veronica Roth","0358164095","",""
"Predictably Irrational: The Hidden Forces That Shape Our Decisions","Dan Ariely","","",""
"Pretty Little Wife","Darby Kane","0063016400","",""
"Pretty Things","Janelle Brown","0525479139","OL20666896W","https://openlibrary.org/works/OL20666896W"
"Pride and Prejudice","Anna Quindlen","1441341706","",""
"Private","Maxine Paetro","0316096156","",""
"Private Games","Mark T. Sullivan","1846059739","",""
"Private L.A.","James  Patterson","0316211095","",""
"Private: #1 Suspect","James  Patterson","0316097403","",""
"Prized","Caragh M. O'Brien","1596435704","",""
"Promised","Caragh M. O'Brien","1596435712","",""
"Prudence","Gail Carriger","0316212245","",""
"Queen of Shadows","Dianne Sylvan","0441019250","",""
"Rachel, Out of Office","Christina Hovland","1649371225","OL25471097W","https://openlibrary.org/works/OL25471097W"
"Radiant Heat","Sarah-Jane Collins","","OL37587765W","https://openlibrary.org/works/OL37587765W"
"Raft of Stars","Andrew J. Graff","0063031906","",""
"Rated","Melissa Grey","","OL20150064W","https://openlibrary.org/works/OL20150064W"
"ReVamped","J.F. Lewis","1439102287","",""
"Recursion","Blake Crouch","1524759805","OL20073906W","https://openlibrary.org/works/OL20073906W"
"Red Rising","Pierce Brown","0345539788","",""
"Red at the Bone","Jacqueline Woodson","0525535276","",""
"Redemption","Mike Lawson","0802159540","OL26596019W","https://openlibrary.org/works/OL26596019W"
"Reshaping It All: Motivation for Physical and Spiritual Fitness","Candace Cameron Bure","1433669730","",""
"River Marked","Patricia Briggs","1841497975","",""
"Rock Paper Killers","Alexia Mason","1398508799","",""
"Romeo and Juliet","William Shakespeare","0743477111","",""
"Room 553","Britney King","","OL27472202W","https://openlibrary.org/works/OL27472202W"
"Rosemary and Rue","Seanan McGuire","1101140100","",""
"Run Away","Harlan Coben","","OL20151084W","https://openlibrary.org/works/OL20151084W"
"Salt Sugar Fat: How the Food Giants Hooked Us","Michael  Moss","1400069807","",""
"Satan's Sword","Debra Dunbar","","OL19369818W","https://openlibrary.org/works/OL19369818W"
"Scythe","Neal Shusterman","","OL17876096W","https://openlibrary.org/works/OL17876096W"
"Season Of The Harvest","Michael R. Hicks","0984492763","OL19626205W","https://openlibrary.org/works/OL19626205W"
"Second Hand Curses","Drew  Hayes","","OL29932423W","https://openlibrary.org/works/OL29932423W"
"Sense and Sensibility","Ros Ballaster","0141439661","",""
"September","Rosamunde Pilcher","","OL24297738W","https://openlibrary.org/works/OL24297738W"
"Serendipity's Debt","C.A. King","1988301769","",""
"Settling the Account","Shayne Parkinson","1452303843","OL20391459W","https://openlibrary.org/works/OL20391459W"
"Shadeborn","Karen Conlin","","",""
"Shadow Bound","Erin Kellison","0505528290","",""
"Shadow of the Fox","Julie Kagawa","","OL21848734W","https://openlibrary.org/works/OL21848734W"
"Shadow's Fall","Dianne Sylvan","1937007383","",""
"Shadowborn","Moira Katson","1484094670","OL40058186W","https://openlibrary.org/works/OL40058186W"
"Shadowforged","Moira Katson","1484095499","OL39716804W","https://openlibrary.org/works/OL39716804W"
"Shatter Me","Tahereh Mafi","","OL16014245W","https://openlibrary.org/works/OL16014245W"
"She Was the Quiet One","Michele Campbell","1250081831","OL20158664W","https://openlibrary.org/works/OL20158664W"
"She's Faking It","Kristin Rockaway","1525804561","OL21873634W","https://openlibrary.org/works/OL21873634W"
"Shelterwood","Lisa Wingate","0593726502","",""
"Ship Ablaze: The Tragedy of the Steamboat General Slocum","Edward T. O'Donnell","0767909062","",""
"Shiver","Allie Reynolds","","OL21681065W","https://openlibrary.org/works/OL21681065W"
"Shuggie Bain","Douglas   Stuart","0802148042","",""
"Shutter Island","Dennis Lehane","","OL17200W","https://openlibrary.org/works/OL17200W"
"Silence Fallen","Patricia Briggs","0425281272","",""
"Silent Victim","Caroline Mitchell","1542096626","OL20581104W","https://openlibrary.org/works/OL20581104W"
"Silver Borne","Patricia Briggs","","OL14906097W","https://openlibrary.org/works/OL14906097W"
"Six Wives: The Women Who Married, Lived, And Died For Henry VIII","Michael W. Simmons","","",""
"Six of Crows","Leigh Bardugo","","OL17332479W","https://openlibrary.org/works/OL17332479W"
"Skinwalker","Faith Hunter","0451462807","",""
"Skyward","Brandon Sanderson","1473217857","",""
"Slaughterhouse-Five","Kurt Vonnegut Jr.","","OL98459W","https://openlibrary.org/works/OL98459W"
"Snow Crash","Neal Stephenson","","OL38501W","https://openlibrary.org/works/OL38501W"
"So Here’s the Thing…: Notes on Growing Up, Getting Older, and Trusting Your Gut","Alyssa Mastromonaco","","",""
"So Long, Lollipops","Sarah Lyons Fleming","","OL26419923W","https://openlibrary.org/works/OL26419923W"
"Society of Lies","Lauren Ling Brown","","OL37627838W","https://openlibrary.org/works/OL37627838W"
"Sociopath","Patric Gagne","","OL37588134W","https://openlibrary.org/works/OL37588134W"
"Some Girls Bite","Chloe Neill","0451226259","",""
"Someone Else's Secret","Julia Spiro","1542022371","OL20759008W","https://openlibrary.org/works/OL20759008W"
"Someone Else's Shoes","Jojo Moyes","1984879294","",""
"Something Wicked This Way Comes","Ray Bradbury","0380729407","",""
"Song of Grace","Connie L. Beckett","1983423475","",""
"Sorcery of Thorns","Margaret  Rogerson","1481497618","",""
"Sorry I Missed You","Suzy Krause","1542010195","OL20742618W","https://openlibrary.org/works/OL20742618W"
"Spider's Bite","Jennifer Estep","1439147973","",""
"Spider’s Revenge","Jennifer Estep","1439192669","OL19950553W","https://openlibrary.org/works/OL19950553W"
"Spilled Milk","K.L. Randis","","OL26833760W","https://openlibrary.org/works/OL26833760W"
"Split Second","Douglas E. Richards","","OL24217041W","https://openlibrary.org/works/OL24217041W"
"Spun","Catherine McKenzie","0692025162","OL26519859W","https://openlibrary.org/works/OL26519859W"
"Staked","J.F. Lewis","1416547800","",""
"Still Life","Louise Penny","0312948557","",""
"Still Lost in Panama : The Real Tragedy on Pianista Trail. The case of Kris Kremers and Lisanne Froon","Christian Hardinghaus","","",""
"Stillhouse Lake","Rachel Caine","1477821554","OL24235969W","https://openlibrary.org/works/OL24235969W"
"Stolen Magic","Marina Finlayson","","OL27694809W","https://openlibrary.org/works/OL27694809W"
"Stolen Souls","Debra Dunbar","1497319692","OL44182236W","https://openlibrary.org/works/OL44182236W"
"Stories We Never Told","Sonja Yoerg","1542004675","OL20758237W","https://openlibrary.org/works/OL20758237W"
"Storm Front","Jim  Butcher","0451457811","",""
"Strange Sally Diamond","Liz Nugent","1844885968","OL29047823W","https://openlibrary.org/works/OL29047823W"
"Summary: Love Warrior: A Memoir by Glennon Doyle Melton","Billionaire Mind Publishing","1542708648","",""
"Surviving Michael","Joseph Birchall","","OL40142255W","https://openlibrary.org/works/OL40142255W"
"THE DRAMAS OF SOPHOCLES: THE OEDIPUS CYCLE AND OTHER PLAYS (The Greek dramas and plays) - Annotated THE GREAT EPIC POEM","Sophocles","","",""
"Take My Hand","Dolen Perkins-Valdez","0593337697","",""
"Taken","Benedict Jacka","1937007723","",""
"Talented","Sophie  Davis","","OL39813335W","https://openlibrary.org/works/OL39813335W"
"Talking as Fast as I Can: From Gilmore Girls to Gilmore Girls (and Everything in Between)","Lauren Graham","0425285189","",""
"Talking to My Angels","Melissa Etheridge","0063257459","",""
"Tarnished Are the Stars","Rosiee Thor","1338312278","OL21346874W","https://openlibrary.org/works/OL21346874W"
"Tea Cups & Tiger Claws","Timothy  Patrick","0989354407","",""
"Teardrop","Lauren Kate","0375990690","",""
"Tegan's Blood","L.H. Cosway","","",""
"Tell Me Lies","Carola Lovering","","OL19742760W","https://openlibrary.org/works/OL19742760W"
"Tell me Lies","J.P. Pomare","","",""
"The 7 1/2 Deaths of Evelyn Hardcastle","Stuart Turton","","OL31169989W","https://openlibrary.org/works/OL31169989W"
"The Adventures of Huckleberry Finn","John Seelye","0142437174","",""
"The Adventures of Tom Sawyer","Mark Twain","","OL53919W","https://openlibrary.org/works/OL53919W"
"The Afterlife of Holly Chase","Cynthia Hand","0062318500","",""
"The All of It","Jeannette Haien","0060971479","OL2661368W","https://openlibrary.org/works/OL2661368W"
"The Angel of Death","Elicia Hyder","","OL44157399W","https://openlibrary.org/works/OL44157399W"
"The Anonymous Source","A.C. Fuller","","OL20292032W","https://openlibrary.org/works/OL20292032W"
"The Arrangement","Kiersten Modglin","","OL28913558W","https://openlibrary.org/works/OL28913558W"
"The Arrangement","Robyn Harding","","",""
"The Atlantis Plague","A.G. Riddle","","OL20786335W","https://openlibrary.org/works/OL20786335W"
"The Awakening","Jennifer Martucci","","",""
"The Banned Bookshop of Maggie Banks","Shauna Robinson","","OL27296857W","https://openlibrary.org/works/OL27296857W"
"The Belgrade Archer","Chase     Hughes","","",""
"The Beneficiary","Marshall Thornton","","",""
"The Big Short: Inside the Doomsday Machine","Michael   Lewis","","",""
"The Birthday","Carol Wyer","","",""
"The Black Trilogy","Elise Noble","1910954683","",""
"The Blind Devotion of Imogene: The Misadventures of Imogene Taylor","David  Putnam","","",""
"The Blood Sugar Solution 10-Day Detox Diet: Activate Your Body's Natural Ability to Burn Fat and Lose Weight Fast","Mark Hyman","0316230022","",""
"The Book of Life","Deborah Harkness","","OL17782786W","https://openlibrary.org/works/OL17782786W"
"The Book of Lost Friends","Lisa Wingate","1984819887","",""
"The Borrowed Life of Frederick Fife","Anna  Johnston","0063397293","",""
"The Bottoms","Joe R. Lansdale","0446677922","OL54794W","https://openlibrary.org/works/OL54794W"
"The Boy and Girl Who Broke the World","Amy Reed","1481481762","",""
"The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics","Daniel James Brown","","",""
"The Breakdown","B.A. Paris","1848454996","",""
"The Bride Test","Helen  Hoang","0451490827","",""
"The Bridge Across Forever: A True Love Story – A New York Times Bestselling Philosophical Memoir of Hope and Intimacy","Richard Bach","0061148482","",""
"The Brilliant Life of Eudora Honeysett","Annie Lyons","0063026066","",""
"The Butterfly Assassin","Finn Longman","1398507350","",""
"The Butterfly Garden","Dot Hutchison","1503989712","OL20036652W","https://openlibrary.org/works/OL20036652W"
"The Call of the Wild","Jack London","","OL14942956W","https://openlibrary.org/works/OL14942956W"
"The Case for a Creator: A Journalist Investigates Scientific Evidence That Points Toward God","Lee Strobel","0310242096","",""
"The Cask of Amontillado","Edgar Allan Poe","1594561869","",""
"The Cat in the Hat","Dr. Seuss","","OL1898309W","https://openlibrary.org/works/OL1898309W"
"The Catcher in the Rye","J.D. Salinger","0316769177","",""
"The Chain","Adrian McKinty","","OL20670578W","https://openlibrary.org/works/OL20670578W"
"The Chateau","Avery Bishop","","",""
"The Children's Blizzard","David Laskin","0060520760","",""
"The Christmas Fix","Lucy Score","","",""
"The Cider House Rules","John Irving","0786226749","",""
"The Circus Fire: A True Story of an American Tragedy","Stewart O'Nan","0385496850","",""
"The Circus Train","Amita Parikh","","",""
"The Comprehensive INFP Survival Guide","Heidi Priebe","","",""
"The Couple Next Door","Shari Lapena","0735221081","",""
"The Cousins","Karen M. McManus","0525708014","",""
"The Covenant of Water","Abraham   Verghese","0802162177","",""
"The Creation Answer Book","Hank Hanegraaff","1400319269","",""
"The Crucible","Christopher W.E. Bigsby","0142437336","",""
"The Cuckoo's Cry","Caroline Overington","","",""
"The Culling Trials","K.F. Breene","1987933516","",""
"The Curious Incident of the Dog in the Night-Time","Mark Haddon","1400032717","",""
"The Dark Heart: A True Story of Greed, Murder, and an Unlikely Investigator","Joakim Palmkvist","1503959791","",""
"The Dark Tower Series: Books 1-7","Stephen  King","1780484542","",""
"The Dark-Hunters: Infinity, Vol. 1","Sherrilyn Kenyon","0316190535","",""
"The Death of Ivan Ilych","Leo Tolstoy","","OL267162W","https://openlibrary.org/works/OL267162W"
"The Death of Mrs. Westaway","Ruth Ware","1501156217","OL20561311W","https://openlibrary.org/works/OL20561311W"
"The Demon Next Door","Bryan Burrough","","OL28592190W","https://openlibrary.org/works/OL28592190W"
"The Devil in the White City","Erik Larson","0739303406","",""
"The Diary of a Young Girl","Anne Frank","","OL27294413W","https://openlibrary.org/works/OL27294413W"
"The Dilemma","B.A. Paris","1250151368","",""
"The Discovery of Magic","Michelle Madow","","",""
"The Divided Self: An Existential Study in Sanity and Madness","R.D. Laing","0141962089","",""
"The Drowning Woman","Robyn Harding","1538726769","",""
"The Echo Wife","Sarah Gailey","","OL20851667W","https://openlibrary.org/works/OL20851667W"
"The End is Nigh","Ken Liu","","",""
"The Evelyn Project","Kfir Luzzatto","1938212002","",""
"The Eye of the World","David   Grove","","",""
"The Fake Date","L.H. Stacey","1835330568","",""
"The Fall Girl","Marcia Clark","1644282658","",""
"The Family Remains","Lisa Jewell","1982178892","",""
"The Family Upstairs","Lisa Jewell","1501190105","",""
"The Farrier's Daughter","Leigh Ann Edwards","1460208722","OL21639545W","https://openlibrary.org/works/OL21639545W"
"The Favorite Girl","Monica Arya","","",""
"The Feast of All Saints","Anne Rice","0345376048","",""
"The Fifth Season","N.K. Jemisin","","OL17363125W","https://openlibrary.org/works/OL17363125W"
"The Firekeeper’s Daughter","Angeline Boulley","","",""
"The First Day of the Rest of Your Life","Rachel Caine","","",""
"The First Mistake","Sandie Jones","1250192056","OL20808717W","https://openlibrary.org/works/OL20808717W"
"The Five: The Untold Lives of the Women Killed by Jack the Ripper","Hallie Rubenhold","","",""
"The Flight Attendant","Chris Bohjalian","0385542429","OL20161311W","https://openlibrary.org/works/OL20161311W"
"The Flight of the Griffin","C.M. Gray","","",""
"The Forgotten Home Child","Genevieve Graham","","OL20660880W","https://openlibrary.org/works/OL20660880W"
"The Fountainhead","Ayn Rand","","OL731663W","https://openlibrary.org/works/OL731663W"
"The Four Agreements: A Practical Guide to Personal Freedom","Miguel Ruiz","1878424505","",""
"The Four Tendencies: The Indispensable Personality Profiles That Reveal How to Make Your Life Better (and Other People's Lives Better, Too)","Gretchen Rubin","0525496289","",""
"The Four Winds","Kristin Hannah","1250178606","",""
